"Oliver","M",6649
"Jack","M",5804
"Harry","M",5379
"Jacob","M",5050
"Charlie","M",4642
"Thomas","M",4405
"George","M",4320
"Oscar","M",4269
"James","M",4167
"William","M",4134
"Noah","M",4085
"Alfie","M",3868
"Joshua","M",3812
"Muhammad","M",3588
"Henry","M",3572
"Leo","M",3414
"Archie","M",3099
"Ethan","M",3061
"Joseph","M",3041
"Freddie","M",3023
"Samuel","M",3021
"Alexander","M",2978
"Logan","M",2813
"Daniel","M",2775
"Isaac","M",2636
"Max","M",2602
"Mohammed","M",2536
"Benjamin","M",2490
"Mason","M",2470
"Lucas","M",2445
"Edward","M",2417
"Harrison","M",2214
"Jake","M",2207
"Dylan","M",2188
"Riley","M",2177
"Finley","M",2115
"Theo","M",2008
"Sebastian","M",1965
"Adam","M",1790
"Zachary","M",1670
"Arthur","M",1649
"Toby","M",1352
"Jayden","M",1334
"Luke","M",1322
"Harley","M",1303
"Lewis","M",1236
"Tyler","M",1235
"Harvey","M",1228
"Matthew","M",1216
"David","M",1209
"Reuben","M",1166
"Michael","M",1139
"Elijah","M",1125
"Kian","M",1123
"Tommy","M",1120
"Mohammad","M",1116
"Blake","M",1106
"Luca","M",1101
"Theodore","M",1090
"Stanley","M",1059
"Jenson","M",1058
"Nathan","M",1055
"Charles","M",1037
"Frankie","M",1030
"Jude","M",1018
"Teddy","M",1017
"Louie","M",1015
"Louis","M",999
"Ryan","M",989
"Hugo","M",956
"Bobby","M",922
"Elliott","M",914
"Dexter","M",908
"Ollie","M",906
"Alex","M",903
"Liam","M",902
"Kai","M",858
"Gabriel","M",842
"Connor","M",841
"Aaron","M",819
"Frederick","M",815
"Callum","M",803
"Elliot","M",780
"Albert","M",778
"Leon","M",765
"Ronnie","M",756
"Rory","M",755
"Jamie","M",749
"Austin","M",707
"Seth","M",694
"Ibrahim","M",669
"Owen","M",663
"Caleb","M",648
"Ellis","M",641
"Sonny","M",640
"Robert","M",631
"Joey","M",627
"Felix","M",614
"Finlay","M",611
"Jackson","M",602
"Amelia","F",5327
"Olivia","F",4724
"Isla","F",4012
"Emily","F",3991
"Poppy","F",3273
"Ava","F",3171
"Isabella","F",3022
"Jessica","F",2995
"Lily","F",2965
"Sophie","F",2905
"Grace","F",2785
"Sophia","F",2752
"Mia","F",2727
"Evie","F",2664
"Ruby","F",2595
"Ella","F",2465
"Scarlett","F",2359
"Isabelle","F",2241
"Chloe","F",2215
"Sienna","F",2174
"Freya","F",2164
"Phoebe","F",2099
"Charlotte","F",2018
"Daisy","F",1957
"Alice","F",1783
"Florence","F",1781
"Eva","F",1725
"Sofia","F",1692
"Millie","F",1685
"Lucy","F",1664
"Evelyn","F",1506
"Elsie","F",1497
"Rosie","F",1475
"Imogen","F",1463
"Lola","F",1441
"Matilda","F",1440
"Elizabeth","F",1398
"Layla","F",1391
"Holly","F",1362
"Lilly","F",1352
"Molly","F",1349
"Erin","F",1343
"Ellie","F",1308
"Maisie","F",1221
"Maya","F",1200
"Abigail","F",1181
"Eliza","F",1165
"Georgia","F",1163
"Jasmine","F",1155
"Esme","F",1151
"Willow","F",1142
"Bella","F",1141
"Annabelle","F",1108
"Ivy","F",1103
"Amber","F",1089
"Emilia","F",1082
"Emma","F",1071
"Summer","F",1067
"Hannah","F",1061
"Eleanor","F",1049
"Harriet","F",1016
"Rose","F",990
"Amelie","F",988
"Lexi","F",972
"Megan","F",879
"Gracie","F",871
"Zara","F",838
"Lacey","F",829
"Martha","F",807
"Anna","F",804
"Violet","F",754
"Darcey","F",727
"Maria","F",707
"Maryam","F",705
"Brooke","F",703
"Aisha","F",702
"Katie","F",701
"Leah","F",683
"Thea","F",678
"Darcie","F",677
"Hollie","F",673
"Amy","F",668
"Mollie","F",663
"Heidi","F",662
"Lottie","F",662
"Bethany","F",648
"Francesca","F",646
"Faith","F",642
"Harper","F",623
"Nancy","F",615
"Beatrice","F",610
"Isabel","F",608
"Darcy","F",606
"Lydia","F",602
"Sarah","F",601
"Sara","F",596
"Julia","F",593
"Victoria","F",584
"Zoe","F",580
"Robyn","F",577
